,tractid,tract,county,state,year,GEOID10,NAMELSAD10,tractid_nanda,year_nanda,pop,incpc,ppov,hinc,phs,mrent,mhmval,pown,pmulti,open_urban_space,low_development,medium_development,high_development,unclassified,forested,cultivated
0,11001002201,Census Tract 22.01,District of Columbia,DC,2000,11001002201,Census Tract 22.01,11001002201,2000,-0.04148327903184572,-0.9621580402882657,0.6876021703175277,-0.8631001420367946,1.4517433790462215,-0.9985734590473281,-0.724423713808391,0.0627223393927795,-0.6276295129500913,-1.5716117627223898,-0.7868564688925529,3.8479522976547784,-0.03539702347868483,-0.5731381275297992,-1.1170115482029415,-0.4942647517948577
1,11001002201,Census Tract 22.01, District of Columbia, District of Columbia,2012,11001002201,Census Tract 22.01,11001002201,2012,-0.305786504474964,-0.8794259284084572,-0.24718268318768574,-0.7301283276655423,1.261564160751705,-0.002770532924827563,-0.22048554724992175,0.444336869816194,-0.8193817851100096,-1.5969787284484493,-0.8521855578025825,3.7250053920842285,-0.07410133403017134,-0.5226328666721646,-1.0677280036998533,-0.46422811857865404
2,11001002201,Census Tract 22.01, District of Columbia, District of Columbia,2019,11001002201,Census Tract 22.01,11001002201,2019,-0.6693067207708632,-0.1200859239139144,-0.3880871385943835,-0.3584165591192961,0.09578331740712596,-2.1958728608853835,0.7021643706495676,0.9301799438633046,-0.5883679507728015,-1.5897683369574267,-0.8674149266257247,3.7029679565995854,-0.08212428926307067,-0.5216021587234299,-1.0627747192029742,-0.45768549142894666
3,11001002202,Census Tract 22.02,District of Columbia,DC,2000,11001002202,Census Tract 22.02,11001002202,2000,-0.36804720720106465,-0.7723058357747434,0.8980250432739333,-1.138448850650815,1.1896564994261096,-1.0911145029856137,-0.7963717901012435,-1.5546032172830622,0.8916149555200069,1.4775416980064466,-0.5554559061132311,1.5950796667207792,-0.37662403896667135,-0.5731381275297992,-1.0510741744214278,-0.4942647517948577
4,11001002202,Census Tract 22.02, District of Columbia, District of Columbia,2012,11001002202,Census Tract 22.02,11001002202,2012,-0.4119330841892618,-0.9396334879252389,1.2741322777035848,-1.3092192962900637,0.821311473678814,-1.2681287503949992,-0.3277445570540047,-0.8698830217074269,0.6206180384687613,1.4346245218659643,-0.6111868139016591,1.512362033038326,-0.41117230032212027,-0.5226328666721646,-0.998880081910041,-0.46422811857865404
5,11001002202,Census Tract 22.02, District of Columbia, District of Columbia,2019,11001002202,Census Tract 22.02,11001002202,2019,-0.6339149878787287,-0.5071624870315381,-0.3071991539750215,-1.1349359120504,0.17384498045331298,-0.9167180914777138,0.4618000647995445,-0.6510012675411506,1.0040235691186754,1.4670208710214159,-0.6261736180555372,1.491518357361309,-0.41895353658390755,-0.5216021587234299,-0.9934361948383569,-0.45768549142894666
6,11001002301,Census Tract 23.01,District of Columbia,DC,2000,11001002301,Census Tract 23.01,11001002301,2000,-0.3813221636307077,-0.602386608359511,1.2641849661899538,-0.8751078300816166,1.3299113014190718,-1.2155662517302046,-0.6764583296131559,-0.9775911026689977,-0.47380286164679136,-1.5037182740868154,-0.5370289360395097,3.820904488538423,-0.44038741597399644,-0.5167835432806754,-1.1170115482029415,-0.4942647517948577
7,11001002301,Census Tract 23.01, District of Columbia, District of Columbia,2012,11001002301,Census Tract 23.01,11001002301,2012,-0.8132039693519828,-0.49503558229792916,0.5217987563648304,-0.7385883495053367,0.8509144094121475,-1.153961091675886,-0.11050422755233417,0.12607438130089893,-0.44364422628887795,-1.528996764871375,-0.6264595599387285,3.7104483438321507,-0.45558892610943363,-0.4713774561785855,-1.0677280036998533,-0.46422811857865404
8,11001002301,Census Tract 23.01, District of Columbia, District of Columbia,2019,11001002301,Census Tract 23.01,11001002301,2019,-0.49026618966947705,0.24682151110346412,-0.4021633275793777,0.8881485508579059,-0.6121572072502122,-0.6898007933281416,0.7647127030268971,0.5543820391838317,-0.39582703980273004,-1.5212215927295796,-0.6414617360755941,3.6884187621297495,-0.4633383104997777,-0.4702851869887247,-1.0627747192029742,-0.45768549142894666
9,11001002302,Census Tract 23.02,District of Columbia,DC,2000,11001002302,Census Tract 23.02,11001002302,2000,-1.4738510777903304,-0.2520927429001317,1.9172402946971698,-0.6699608086261948,-0.34870743695765216,0.7852349396251425,-0.728784203280685,0.4129290973697314,1.378699844021466,2.0092033208673463,-0.2977955425252253,0.23782791787538998,0.20551452949603144,-0.2346305368312046,-0.8778697107228972,-0.4942647517948577
10,11001002302,Census Tract 23.02, District of Columbia, District of Columbia,2012,11001002302,Census Tract 23.02,11001002302,2012,-1.543958746460241,-0.5186903728278078,2.1318101280399766,-0.8580923422189233,0.22818502118405518,0.8106740354488542,-0.4453483444534053,-1.7359613639257843,1.7564634460792847,1.9553635875225839,-0.3435038348801817,0.1973022943959313,0.1677895275554509,-0.2525642025634572,-0.8227411456535001,-0.46422811857865404
11,11001002302,Census Tract 23.02, District of Columbia, District of Columbia,2019,11001002302,Census Tract 23.02,11001002302,2019,-1.5291176433856595,-0.313736505740545,1.4034652235454868,-1.1738931224044926,0.23335458905083975,0.6277835185080847,-0.4263862549585336,-1.7230233449263044,1.6440596375435488,1.9660982629994181,-0.3491938256320291,0.18761648500526826,0.15959310852403139,-0.25120912374359516,-0.8160421122621536,-0.45768549142894666
