Unnamed: 0,tractid,tract,county,state,year,GEOID10,NAMELSAD10,tractid_nanda,year_nanda,pop,incpc,ppov,hinc,phs,mrent,mhmval,pown,pmulti,open_urban_space,low_development,medium_development,high_development,unclassified,forested,cultivated,cluster
0,11001002201,Census Tract 22.01,District of Columbia,DC,2000,11001002201,Census Tract 22.01,11001002201,2000,-0.0414832790318457,-0.9621580402882656,0.6876021703175277,-0.8631001420367946,1.4517433790462215,-0.998573459047328,-0.724423713808391,0.0627223393927795,-0.6276295129500913,-1.5716117627223898,-0.7868564688925529,3.8479522976547775,-0.0353970234786848,-0.5731381275297992,-1.1170115482029417,-0.4942647517948577,2
1,11001002201,Census Tract 22.01, District of Columbia, District of Columbia,2012,11001002201,Census Tract 22.01,11001002201,2012,-0.305786504474964,-0.8794259284084572,-0.2471826831876857,-0.7301283276655423,1.261564160751705,-0.0027705329248275,-0.2204855472499217,0.444336869816194,-0.8193817851100096,-1.5969787284484491,-0.8521855578025825,3.725005392084229,-0.0741013340301713,-0.5226328666721646,-1.067728003699853,-0.464228118578654,4
2,11001002201,Census Tract 22.01, District of Columbia, District of Columbia,2019,11001002201,Census Tract 22.01,11001002201,2019,-0.6693067207708632,-0.1200859239139144,-0.3880871385943835,-0.3584165591192961,0.0957833174071259,-2.1958728608853835,0.7021643706495676,0.9301799438633046,-0.5883679507728015,-1.5897683369574267,-0.8674149266257247,3.7029679565995854,-0.0821242892630706,-0.5216021587234299,-1.0627747192029742,-0.4576854914289466,1
3,11001002202,Census Tract 22.02,District of Columbia,DC,2000,11001002202,Census Tract 22.02,11001002202,2000,-0.3680472072010646,-0.7723058357747434,0.8980250432739333,-1.138448850650815,1.1896564994261096,-1.0911145029856135,-0.7963717901012435,-1.5546032172830622,0.8916149555200069,1.4775416980064466,-0.5554559061132311,1.5950796667207792,-0.3766240389666713,-0.5731381275297992,-1.0510741744214278,-0.4942647517948577,4
4,11001002202,Census Tract 22.02, District of Columbia, District of Columbia,2012,11001002202,Census Tract 22.02,11001002202,2012,-0.4119330841892618,-0.9396334879252388,1.2741322777035848,-1.3092192962900635,0.821311473678814,-1.2681287503949992,-0.3277445570540047,-0.8698830217074269,0.6206180384687613,1.4346245218659643,-0.6111868139016591,1.512362033038326,-0.4111723003221202,-0.5226328666721646,-0.998880081910041,-0.464228118578654,4
5,11001002202,Census Tract 22.02, District of Columbia, District of Columbia,2019,11001002202,Census Tract 22.02,11001002202,2019,-0.6339149878787287,-0.5071624870315381,-0.3071991539750215,-1.1349359120504,0.1738449804533129,-0.9167180914777138,0.4618000647995445,-0.6510012675411506,1.0040235691186754,1.467020871021416,-0.6261736180555372,1.491518357361309,-0.4189535365839075,-0.5216021587234299,-0.9934361948383568,-0.4576854914289466,4
6,11001002301,Census Tract 23.01,District of Columbia,DC,2000,11001002301,Census Tract 23.01,11001002301,2000,-0.3813221636307077,-0.602386608359511,1.2641849661899538,-0.8751078300816166,1.3299113014190718,-1.2155662517302046,-0.6764583296131559,-0.9775911026689976,-0.4738028616467913,-1.5037182740868154,-0.5370289360395097,3.820904488538423,-0.4403874159739964,-0.5167835432806754,-1.1170115482029417,-0.4942647517948577,2
7,11001002301,Census Tract 23.01, District of Columbia, District of Columbia,2012,11001002301,Census Tract 23.01,11001002301,2012,-0.8132039693519828,-0.4950355822979291,0.5217987563648304,-0.7385883495053367,0.8509144094121475,-1.153961091675886,-0.1105042275523341,0.1260743813008989,-0.4436442262888779,-1.528996764871375,-0.6264595599387285,3.710448343832151,-0.4555889261094336,-0.4713774561785855,-1.067728003699853,-0.464228118578654,4
8,11001002301,Census Tract 23.01, District of Columbia, District of Columbia,2019,11001002301,Census Tract 23.01,11001002301,2019,-0.490266189669477,0.2468215111034641,-0.4021633275793777,0.8881485508579059,-0.6121572072502122,-0.6898007933281416,0.7647127030268971,0.5543820391838317,-0.39582703980273,-1.5212215927295796,-0.6414617360755941,3.6884187621297495,-0.4633383104997777,-0.4702851869887247,-1.0627747192029742,-0.4576854914289466,1
9,11001002302,Census Tract 23.02,District of Columbia,DC,2000,11001002302,Census Tract 23.02,11001002302,2000,-1.4738510777903304,-0.2520927429001317,1.9172402946971696,-0.6699608086261948,-0.3487074369576521,0.7852349396251425,-0.728784203280685,0.4129290973697314,1.378699844021466,2.0092033208673463,-0.2977955425252253,0.2378279178753899,0.2055145294960314,-0.2346305368312046,-0.8778697107228972,-0.4942647517948577,4
