,tractid,tract,county,state,year,GEOID10,NAMELSAD10,tractid_nanda,year_nanda,pop,incpc,ppov,hinc,phs,mrent,mhmval,pown,pmulti,open_urban_space,low_development,medium_development,high_development,unclassified,forested,cultivated
0,53053062000,Census Tract 620,Pierce County,WA,2000,53053062000,Census Tract 620,53053062000,2000,0.05730532789643171,-1.2116955711934894,1.0914600490917719,-1.2743658608178086,1.666642253892873,-1.293615346881434,-1.2828644583578788,-0.39968510243842853,-0.08167406476703495,-0.11541215135168856,-0.11483743847549031,1.9367302018610393,-0.30395904615130875,-0.5049360177177714,-0.6987980358807109,-0.39494106954755026
1,53053062000,Census Tract 620, Pierce County, Washington,2012,53053062000,Census Tract 620,53053062000,2012,-0.30443940623714894,-1.0674076604667335,0.9038752670086566,-0.9029207455670263,1.4526613217840594,-1.1457673373768442,-1.1842157009550067,0.08212359776938398,-0.06881384277725174,-0.17794969082871226,-0.1276933963174633,1.9686189022863456,-0.2903018983208842,-0.5687632773814149,-0.6690752567327909,-0.3724624109492413
2,53053062000,Census Tract 620, Pierce County, Washington,2019,53053062000,Census Tract 620,53053062000,2019,-0.4095519038443842,-1.244859193914582,2.2874321071530814,-1.2444055940071732,1.359005748675431,-1.2292822101170577,-1.0910813724299404,-0.3178212260134743,-0.3468018425927544,-0.2194953223521508,-0.13198593061178646,1.9791759423088569,-0.28524917500787134,-0.5659547887584592,-0.6655887258615484,-0.36977191235568424
3,53053071601,Census Tract 716.01,Pierce County,WA,2000,53053071601,Census Tract 716.01,53053071601,2000,-0.11914673357372374,-1.119597083186589,1.3343030465653085,-1.1941636800432294,1.761249751011578,-0.9916296163211871,-1.1154617898862977,-0.6041694617993499,0.3676974455232005,2.6970937015834626,0.6654281385444363,-0.32424146321630826,-0.24300772096739934,-0.5190123311588197,-0.7253048439620473,-0.3364052330628877
4,53053071601,Census Tract 716.01, Pierce County, Washington,2012,53053071601,Census Tract 716.01,53053071601,2012,0.08994727328203267,-1.2667148267950457,0.8347037618888188,-1.0891917882576052,1.6201578063194213,-0.8864014994965839,-1.0412366757896252,-0.7164418561492201,0.22406555671955655,2.5482827277794,0.6191439886261865,-0.25209976824126623,-0.23174276494515705,-0.49415530544174086,-0.7104018114676675,-0.3103110272983008
5,53053071601,Census Tract 716.01, Pierce County, Washington,2019,53053071601,Census Tract 716.01,53053071601,2019,-0.10658361493294828,-1.2924746251209973,0.562633869569412,-1.2347191956385082,2.883629405879118,-1.3944031231399823,-1.2210243546597255,-0.7628830530451742,0.49299593518179646,2.5141664845581535,0.6241968242834385,-0.22940667170469708,-0.23419574243043792,-0.4912652787524617,-0.7070444152272273,-0.30718780435148446
6,53053073111,Census Tract 731.11,Pierce County,WA,2000,53053073111,Census Tract 731.11,53053073111,2000,-0.3648937341637378,-0.5925719561638245,-0.544322074479288,0.26757503084418394,0.5308008559000841,0.2423465585543042,-0.6373247564086447,0.687519356410977,-0.9038237102268827,0.5571402188984265,1.4491493347640363,-0.6494835327113904,-0.5659724285038197,-0.4471923637924677,-0.0034023671194095832,-0.1828405894967376
7,53053073111,Census Tract 731.11, Pierce County, Washington,2012,53053073111,Census Tract 731.11,53053073111,2012,-0.2964987348374339,-0.5707168900548819,-0.8103047589350745,-0.10144570595370203,0.5789785039900803,-0.016977986602189903,-0.8626839218749623,0.6474270649049716,-0.5665448524550136,0.5695446445575101,1.4808485336380266,-0.6786780229869603,-0.5585414346307009,-0.4195971259661241,-0.0023324814841346546,-0.1472612504321154
8,53053073111,Census Tract 731.11, Pierce County, Washington,2019,53053073111,Census Tract 731.11,53053073111,2019,-0.5279849622370364,-0.6042302579497083,0.05955582768063203,-0.25783869150313055,0.7667905257939203,-0.2563389841512095,-0.8814684306035331,0.535240100673697,-0.7421694277618821,0.596668998640144,1.4759787015843877,-0.6947196141628084,-0.5622979053557032,-0.41844955834051917,0.004447991480160056,-0.1430028056270097
9,53053940007,Census Tract 9400.07,Pierce County,WA,2000,53053940007,Census Tract 9400.07,53053940007,2000,-0.6927945285556462,-1.3944551126118647,2.180009408906306,-1.0358626193011338,2.1112651615653206,-1.0280761700094927,-1.3408536180245048,-0.7604855200899422,-0.7817728820548305,1.211657775711207,0.8099015121422786,0.3559047903965821,-0.27995048768873465,-0.45310905598060064,-0.7189707104962793,-0.39024278638715726
10,53053940007,Census Tract 9400.07, Pierce County, Washington,2012,53053940007,Census Tract 9400.07,53053940007,2012,-0.9264586658814957,-1.377628494622947,2.0070423951963705,-1.029668093359319,1.5588497012037215,-0.4042002234375082,-1.2786229041742536,0.10438977930711192,-0.901822992982987,0.9826976239831081,0.684364266593631,0.42074474165243775,-0.19199831393903743,-0.42761069495425486,-0.6708654397484888,-0.36747393180999044
11,53053940007,Census Tract 9400.07, Pierce County, Washington,2019,53053940007,Census Tract 9400.07,53053940007,2019,-1.15650644886967,-1.3575251389012561,1.2817635182631009,-1.00409617059829,1.5576921173165483,-1.3512176535801406,-1.2431785680234921,-0.04188617495859437,-0.7592325638799882,0.964665115501544,0.6920100126277027,0.42285212429837216,-0.19604374283281936,-0.4246479425397974,-0.6673845027290515,-0.3647487013040852
12,53053940006,Census Tract 9400.06,Pierce County,WA,2000,53053940006,Census Tract 9400.06,53053940006,2000,-1.0249816078415663,-2.181450553607285,6.6191587616564185,-2.2969021531777645,2.9751027549153126,-2.4338718122727108,-1.189862975873667,0.370250714465966,-0.39973553513067245,0.8856765221016208,-0.06432194081830193,-0.6762274957801127,-0.4135752319277794,-0.6237675428921061,0.976344221699226,-0.38853729911269536
